Word,Survey borrowing-ness factor,Rank
script,8,1
class,7,2
college,7,3
doctor,7,4
cancer,7,5
traffic,6,6
group,6,7
university,6,8
toilet,6,9
driver,6,10
school,5,11
superstar,5,12
request,5,13
luck,5,14
friend,5,15
performance,4,16
judge,4,17
officer,4,18
hall,4,19
degree,3,20
week,3,21
road,3,22
singer,3,23
car,2,24
president,2,25
lyrics,2,26
scene,1,27
seat,1,28
politics,1,29
rest,1,30
dialogue,1,31
angel,1,32
uncle,0,33
room,0,34
title,0,35
body,-1,36
service,-1,37
shoot,-1,38
assembly,-1,39
jeweler,-1,40
parliament,-2,41
way,-2,42
candidate,-2,43
writer,-2,44
guy,-4,45
journalist,-4,46
matter,-5,47
question,-5,48
moments,-5,49
society,-5,50
defense,-5,51
press,-6,52
reason,-6,53
wrong,-7,54
blue,-7,55
magic,-7,56
play,-8,57
boy,-8,58
day,-8,59
town,-8,60
cool,-9,61
house,-9,62
anthem,-9,63
farmer,-9,64
vacation,-9,65
people,-10,66
thing,-10,67
woman,-11,68
money,-11,69
god,-11,70
