मसूरी	m a s uu r ii
पहाड	p a h aa d:
लीला	l ii l a
टी	t: ii
अवांछित	a v aa n chh i t
परिहास	p a r i h aa s
सैयद	s ai y y a d
कुण्डियॉ	k u n d: i y aa n
कॉफी	k aa ph ii
प्रौद्योगिक	p r au d y oo g i k
प्रगाढ़	p r a g aa d:h
निभाएंगे	n i bh aa ei n g ei
उठाए	u t:h aa ei
एसएमएस	ei s ei m ei s
गूंज	g uu n j
गज्जक	g a j j a k
अरेबिया	a r ei b i y aa
चढ़ावा	ch a d:h aa v aa
डायबिटिज़	d: aa y a b i t: ii j
टैंको	t: ai n k oo n
पैदल	p ai d a l a
पौधा	p au dh aa
चन्द्रमा	ch a n d r a m a
मैनका	m ai n k aa 
मशीनों	m a sh ii n oo n
गोविंदा	g oo v i n d 
अरेबियन	a r ei b i y a n
अर्जन	a r j a n 
पुर्तगाल	p u r t g aa l 
कुर्बानी	k u r b aa n ii
स्वच्छता	s v a ch chh t aa 
जोशों	j oo sh oo n
सचिव	s a ch i v
उद्योगपतियों	u d y oo g p a t i y oo n
प्रवेश	p r a v ei sh
प्रमाणीकृत	p a r m aa n: ii k r i t
बार्ड	b aa r d:
जपो	j a p oo 
एमबी	ei m b ii
डिजीटल	d: i j ii t: a l
आस्ट्रेलियन	aa s t: r ei l i y a n
बुलाते	b u l aa t ei
इन्डो	i n d: oo 
बारबरा	b a r aa b a r
वजनी	v a j a n ii
परिवेश	p a r i v ei sh
बुलाती	b u l aa t ii
विसारत	v i s aa r a t
मैडिआ	m ai d: i aa
भविष्यवाणी	bh a v i shh y a v aa n: ii
तुर्बत	t u r b a t
सचिन	s a ch i n
रोमांस	r oo m aa n s 
वैतनिक	v ai t a n i k 
प्रतिरोधक	p r a t i r oo dh a k
कक्षामें	k a k shh m ei n
जलाया	j a l aa y aa
मुथुरलिंगम	m u th u r l i n g a m
ख़ौफनाक	kh au ph n aa k 
अब्देलाज़िज	a b d ei l aa j i j
सत्तारूढ़	s a t t aa r uu d:h
कैलहन	k ai l h a n
लिफ्ट	l i ph t:
सीर	s ii r
सूर्यास्त	s uu r y aa s t
मनवाया	m a n v aa y aa
अर्धवृत्ताकार	a r dh a v r i t t aa k aa r
दहीवडा	d a h ii v a d: aa
कुएं	k u ei
हस्ती	h a s t ii
लंबे	l a m b ei
तिलीयाँ	t i l ii y aa
गवर्नर	g a v a r n a r
टांका	t: aa n k aa
गवर्नल	g a v a r n a l
लंबी	l a m b ii
संवैधानिक	s a n v ai dh aa n i k
मलेशिया	m a l ei sh i y aa
ठंडी	t:h a n d: ii
स्पेशल	s p ei sh a l
लिएधन	l i ei dh a n
बेचता	b ei ch t aa
बोधिसत्व	b oo dh i s a t v a
सूत	s uu t 
परास्त	p a r aa s t
पार्वती	p aa r v a t ii
दहला	d a h a l aa
कैंम्पों	k ai m p oo n
दैवियता	d ai v i y a t aa
भारतीयता	bh aa r a t ii y t aa
नोल्टन	n oo l t: a n
किंगमेकर	k i n g m ei k a r
गोष्ठियों	g oo shh t:h i y oo n
बोल्ट	b oo l t:
टुकड़े	t: u k d: ei
टुकड़ी	t: u k d: ii
हॉस्पिटल्स	h aa s p i t: a l s
पोषकता	p oo shh a k t aa
डिवाइसयंत्र	d: i v aa i s y a n t r a
जोसेफ़	j oo s ei ph
प्रतिभागियों	p r a t i bh aa g i y oo n
पारदर्शिता	p aa r d a r sh i t aa
माली	m aa l ii
मिठाईयां	m i th aa i y aa n
माले	m aa l ei
मिठाईयाँ	m i t:h aa i y aa
संगीतमय	s a n g ii t m a y
दर	d a r
गणितज्ञ	g a n i t a g y a
आवाज़	aa v aa j
प्रबल	p r a b a l
थके	th a k ei
थकी	th a k ii
दल	d a l
दर्द	d a r d 
मिटे	m i t ei
गुड़	g u d:
लौटता	l au t: t aa
मापक	m aa p a k
सुराग	s u r aa g
श्रद्धाँजलि	sh r a d dh aa n j a l ii
पेरुमथनम्	p ei r u m a th n a m
गुडं	g u d: a m
पक्षपात	p a k shh p aa t
जोडना	j oo d: n a
वार्तालाप	v aa r t aa l aa p
दर्ज	d a r j
नामांकन	n aa m aa n k a n
मदनापल्लै	m a d n aa p a l ei
फ्रांस	ph r aa n s
मापा	m aa p aa
सूख	s uu kh
रोहतक	r oo h t a k
बीबी	b ii b ii
दवा	d a v aa
बीतते	b ii t a t ei
पेट्रोलियमों	p ei t: r oo l i y a m oo n
नक्शे	n a k sh ei
उपग्रह	u p g r a h
दक्षता	d a k shh a t aa
पाएंगी	p aa ei n g ii
पाएंगे	p aa ei n g ei
पतंगबाजी	p a t a n g b aa j ii
गहना	g a h n a
लूंगा	l uu n g aa
जनता	j a n t aa
अध्येताओं	a dh y ei t aa oo n
इन्तजार	i n t a j aa r 
काटकर	k aa t: k a r
सैलोन	s ai l oo n
जागरुकता	j aa g r u k t aa
रामनगर	r aa m n a g a r
जताया	j a t aa y aa
पात्रता	p aa t r a t aa
फागू	ph aa g uu
निकासी	n i k aa s ii
दरी	d a r ii
मोर्चों	m a r ch oo n
इन्तजाम	i n t j aa m
निगमित	n i g a m i t
समाजवादी	s a m aa j aa v aa d ii
जागृति	j aa g r i t i
अनुसांधन	a n u s a n dh aa n
योजनागत	y oo j n aa g a t
