मसूरी	ma suu rii
पहाड	pa haad:
लीला	lii la
टी	t:ii
अवांछित	a vaan chhit
परिहास	pa ri haas
सैयद	saiy yad
कुण्डियॉ	kun d:i yaan
कॉफी	kaa phii
प्रौद्योगिक	praud yoo gik
प्रगाढ़	pra gaad:h
निभाएंगे	ni bhaaein gei
उठाए	u t:haaei
एसएमएस	ei sei meis
गूंज	guunj
गज्जक	gaj jak
अरेबिया	a rei bi yaa
चढ़ावा	cha d:haa vaa
डायबिटिज़	d:aa ya bi t:iij
टैंको	t:ain koon
पैदल	pai da la
पौधा	pau dhaa
चन्द्रमा	chan dra ma
मैनका	main kaa
मशीनों	ma shii noon
गोविंदा	goo vind
अरेबियन	a rei bi yan
अर्जन	ar jan
पुर्तगाल	pur tgaal
कुर्बानी	kur baa nii
स्वच्छता	svach chhtaa
जोशों	joo shoon
सचिव	sa chiv
उद्योगपतियों	ud yoog pa ti yoon
प्रवेश	pra veish
प्रमाणीकृत	par maa n:iik rit
बार्ड	baard:
जपो	ja poo
एमबी	eim bii
डिजीटल	d:i jii t:al
आस्ट्रेलियन	aas t:rei li yan
बुलाते	bu laa tei
इन्डो	in d:oo
बारबरा	ba raa bar
वजनी	va ja nii
परिवेश	pa ri veish
बुलाती	bu laa tii
विसारत	vi saa rat
मैडिआ	mai d:iaa
भविष्यवाणी	bha vishh ya vaa n:ii
तुर्बत	tur bat
सचिन	sa chin
रोमांस	roo maans
वैतनिक	vai ta nik
प्रतिरोधक	pra ti roo dhak
कक्षामें	kak shhmein
जलाया	ja laa yaa
मुथुरलिंगम	mu thur lin gam
ख़ौफनाक	khauph naak
अब्देलाज़िज	ab dei laa jij
सत्तारूढ़	sat taa ruud:h
कैलहन	kail han
लिफ्ट	lipht:
सीर	siir
सूर्यास्त	suur yaast
मनवाया	man vaa yaa
अर्धवृत्ताकार	ar dhav rit taa kaar
दहीवडा	da hii va d:aa
कुएं	kuei
हस्ती	has tii
लंबे	lam bei
तिलीयाँ	ti lii yaa
गवर्नर	ga var nar
टांका	t:aan kaa
गवर्नल	ga var nal
लंबी	lam bii
संवैधानिक	san vai dhaa nik
मलेशिया	ma lei shi yaa
ठंडी	t:han d:ii
स्पेशल	spei shal
लिएधन	liei dhan
बेचता	beich taa
बोधिसत्व	boo dhi sat va
सूत	suut
परास्त	pa raast
पार्वती	paar va tii
दहला	da ha laa
कैंम्पों	kaim poon
दैवियता	dai vi ya taa
भारतीयता	bhaa ra tiiy taa
नोल्टन	nool t:an
किंगमेकर	kin gmei kar
गोष्ठियों	gooshh t:hi yoon
बोल्ट	boolt:
टुकड़े	t:uk d:ei
टुकड़ी	t:uk d:ii
हॉस्पिटल्स	haas pi t:als
पोषकता	poo shhak taa
डिवाइसयंत्र	d:i vaais yan tra
जोसेफ़	joo seiph
प्रतिभागियों	pra ti bhaa gi yoon
पारदर्शिता	paar dar shi taa
माली	maa lii
मिठाईयां	mi thaai yaan
माले	maa lei
मिठाईयाँ	mi t:haai yaa
संगीतमय	san giit may
दर	dar
गणितज्ञ	ga ni tag ya
आवाज़	aa vaaj
प्रबल	pra bal
थके	tha kei
थकी	tha kii
दल	dal
दर्द	dard
मिटे	mi tei
गुड़	gud:
लौटता	laut: taa
मापक	maa pak
सुराग	su raag
श्रद्धाँजलि	shrad dhaan ja lii
पेरुमथनम्	pei ru math nam
गुडं	gu d:am
पक्षपात	pak shhpaat
जोडना	jood: na
वार्तालाप	vaar taa laap
दर्ज	darj
नामांकन	naa maan kan
मदनापल्लै	mad naa pa lei
फ्रांस	phraans
मापा	maa paa
सूख	suukh
रोहतक	rooh tak
बीबी	bii bii
दवा	da vaa
बीतते	bii ta tei
पेट्रोलियमों	peit: roo li ya moon
नक्शे	nak shei
उपग्रह	up grah
दक्षता	dak shha taa
पाएंगी	paaein gii
पाएंगे	paaein gei
पतंगबाजी	pa tan gbaa jii
गहना	gah na
लूंगा	luun gaa
जनता	jan taa
अध्येताओं	adh yei taaoon
इन्तजार	in ta jaar
काटकर	kaat: kar
सैलोन	sai loon
जागरुकता	jaag ruk taa
रामनगर	raam na gar
जताया	ja taa yaa
पात्रता	paat ra taa
फागू	phaa guu
निकासी	ni kaa sii
दरी	da rii
मोर्चों	mar choon
इन्तजाम	in tjaam
निगमित	ni ga mit
समाजवादी	sa maa jaa vaa dii
जागृति	jaag ri ti
अनुसांधन	a nu san dhaan
योजनागत	yooj naa gat
प्रवक्ता	pra vak taa
प्राणघाती	praan: ghaa ti
पुनर्जीवन	pu nar jii van
वकालत	va kaa lat
प्रतीत	pra tiit
सीख	siikh
शशि	sha shii
चरितार्थ	cha ri taarth
जैसें	jai sein
जैसेः	jai sei
रामदुलारे	raam du laa rei
रामदुलारी	raam du laa rii
पर्यन्त	par yant
त्रासदी	traas dii
बेसकीमती	beis kiim tii
गुजरातभारत	gu ja raa ta bhaar
दूबे	duu bei
सूई	suuii
पकड़ा	pak d:aa
रिकार्ड	ri kaard:
फहराया	phah raa yaa
आलोचक	aa loo chak
आउटडोर	aaut: d:oor
कानों	kaa noon
आर्डर	aar d:ar
अनियमितता	a ni ya mit taa
अनुवादक	a nu vaad
संबोधन	sam boo dhan
विचारधारा	vi chaar dhaa raa
इन्सुलेटर	in su lei t:ar
गैलरी	gai la rii
वानी	vaa nii
नंदगांव	nan dgaanv
सत्यता	sat ya taa
वाद	vaad
साहसी	saa ha sii
जुर्माने	jur maa nei
कॉलेजों	kaa lei joon
जोड़ियों	joo d:i yoon
एकपत्नीत्व	eik pat niitv
अप्रैल	ap rail
सलीमगढ़	sa lii ma gad:h
सुधार	su dhaar
निरंकुश	ni ran kush
अन्तर्निहिता	an tar ni hi taa
टैम्पल	taim pal
सतयुग	sat yug
उबाऊ	u baauu
राष्ट्रगीत	raashh t:ra giit
पहुंचाते	pa hun chaa tei
मानेंगे	maa nein gei
भूमि	bhuu mi
आवें	aa vein
धुन	dhun
डर	d:ar
मूसे	muu sei
ऊँचाई	uun chaaii
सौंपने	saun pa ne
बिर्न	bir na
बिनु	bi nu
काटा	kaa t:aa
चालू	chaa luu
दुकान	du kaan
रबीन्द्रनाथ	ra biin dra naath
कार्यकरण	kaar ya ka ran
पादरी	paad rii
चुराई	chu raaii
स्वंय	sva yam
रिश्वत	rish vat
लालित्य	laa lit ya
रोगियों	roo gi yoon
ठहराने	t:hah raa nei
चलना	chal naa
अंबालाल	am baa laal
वचनबद्धता	va chan bad dha taa
सम्भाल	sam bhaal
स्थापना	sthaa pa naa
श्यामन्तिक	shyaa man tik
चेन्नई	chein nai
किंग्डम	kin gd:am
चाहती	chaah tii
प्रोजैक्ट्स	
भ्रष्ट्राचार	bhrash t:aa chaar
सोयाबीन	soo yaa biin
चाहते	chaah tei
संलेखन	sa laa khein
टुकङियों	t:uk d:i yoon
वरदान	var daan
लियोपोल्ड	li yoo poold:
संयोजित	san yoo jit
धावक	dhaa vak
तोमरघार	too mar ghaar
सिनेमाघरों	si nei maa gha roon
भूरा	bhuu raa
पोर्टल	poor t:al
डल	d:al
पोर्टर	poor t:ar
राष्ट्रप्रेमी	raash t:rap rei mii
चेज़	cheiz
हानि	haa ni
कैमरा	kaim raa
मुद्दो	mud doon
एचसीएल	eich siieil
वैमनस्य	vai ma nas ya
हास्यपद	haas yaas pad
स्थापत्य	sthaa pat ya
कुंथानृत्य	kun thaan rity
आंतरिक	aan trik
स्टार्टअप	st:aar t:ap
समुह	sa muuh
छोडो	chhoo d:oo
मुद्दे	mud dei
सजाती	sa jaa ti
किचलूव	kich luuv
मस्जिदें	mas ji dein
दत्तचित	dat ta chit
मेनिनजाइटिस	mei nin jaai t:is
टंकियाँ	t:an ki yaan
उत्पादकता	ut paa dak taa
कैदियों	kai di yoon
शिद्दत	shid dat
तुम	tum
टेक्नोलॉज़ी	t:eik noo lau jii
एसएन	ei seim
सेकेंड	sei keind:
मुस्कुराहट	mus ku raa hat:
एमजी	eim jii
अशफाक	ash phaak
चपाती	cha paa tii
अड़ाये	a d:aa yein
नीरी	nii rii
नीरु	nii ru
यूरोपीयन	yuu roo pi yan
करियप्पा	ka riy ppaa
होवेन	hoo vein
कथाएं	ka thaaein
पुस्तक	pus tak
कथाएँ	ka thaaein
पूछा	puu chhaa
प्रधानाचार्या	pra dhaa naa chaar yaa
उन्मूलन	un muu lan
संभाला	sam bhaa laa
बहनः	ba han
फारवर्ड	phar vard:
बनवा	ban vaa
संवत्	san vat
वनकर	van kar
निशान	ni shaan
बचाया	ba chaa yaa
असंतुलन	a san tu lan
बाँधा	baan dhaa
दुर्भाग्य	dur bhaag ya
बहना	bah naa
मिसाइलमैन	mi saail mein
प्याली	pyaa lii
वर्षगाँठ	var sha gaant:h
प्रधानचार्य	pra dhaan chaar ya
बांके	baan kei
कोल्हापुर	kool haa pur
दोनो	doo noon
द्ददा	da ddaa
वालीबॉल	vaa li baal
दफ्तरों	daph ta roon
सोचा	soo chaa
सुधारेगा	su dhaa rei gaa
रॉबर्ट	raa bart:
अपनो	ap noon
पदुरंगाशास्त्री	pa du ran gaa shaas trii
छाल	chhaal
प्रतिद्वंदिता	pra tid van di taa
संस्कृति	san
अजनबी	aj na bii
भटक	bha t:ak
